Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE
X0004768-3,Kassette DEORE XT CS-M771 10-fach,Nein/Nur in der Filiale Verfügbar,4524667428701,ICSM77110136,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000010422,chrom gestrahlt,NOS,11-36 Zähne,KA,,,0,18,0,0,0,0,,0,0,,0,0,45714,39.5425,38.99814,863.74,144.2,0,0,0.166948,39.88,0.030534,44895,59.99,88.95,0.325576,1.5,MC-AUSLAUF,59.99,59.99
X0004787-1,Kassette CS-HG81 10-fach,Nein/Nur in der Filiale Verfügbar,4524667721192,ICSHG8110132,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000083860,grau,24,11-32 Zähne,UN,,,0,3,0,0,0,0,,0,0,,0,0,45295,29.988,29.172667,108.39,19.33,0,0,0.178337,0,0,45062,42.99,62.95,0.317077,1.4,MC-AUSLAUF,42.99,42.99
X0004787-3,Kassette CS-HG81 10-fach,Nein/Nur in der Filiale Verfügbar,4524667428596,ICSHG8110136,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000083860,grau,24,11-36 Zähne,UN,,,0,9,0,0,0,0,,0,0,,0,0,45385,29.988,29.930694,325.15,56.93,0,0,0.175088,0,0.027397,45072,42.99,62.95,0.317077,1.4,MC-NOS-B MB=5 VE=18,42.99,42.99
X0009510-1,Kassette Deore XT CS-M770 9-fach,Nein/Nur in der Filiale Verfügbar,4524667130192,ICSM7709132,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000010421,grau,NOS,11-32 Zähne,KA,,,0,0,0,0,18,,,0,0,,0,0,46119,40.464444,39.781233,0,0,0,0,0,728.36,0.067797,44896,52.99,84.95,0.376221,1.3,MC-NOS-B MB=5 VE=18,52.99,52.99
X0009510-2,Kassette Deore XT CS-M770 9-fach,JA,4524667130208,ICSM7709134,T083,TZB,Zahnkränze/Kassetten,SHIMANO,M000083861,grau,24,11-34 Zähne,UN,,,0,15,2,0,2,0.133333,1,0,0,,0,0,45385,41.986,41.061818,754.94,131.59,0,100.823529,0.174305,83.11,0.036364,44963,59.99,84.95,0.29382,1.4,MC-NOS-C MB=5 VE=18,59.99,59.99
X0004864-1,"Bremsscheibe XT SM-RT86 6-Loch, 203 mm, zweiteilig",JA,4550170818104,ESMRT86L2,T079,TZB,Bremsen E.Teile/Zub.,SHIMANO,M000010388,silber/schwarz,24,203 MM,UN,,,0,15,1,2,20,1.333333,20,0,5,2026-06-15,5,35.36,46127,30.41,28.272292,579.75,105.35,77.294118,38.647059,0.181716,635,0.08,45299,45.99,70.95,0.351797,1.5,MC-NOS-C MB=5 VE=30,45.99,45.99
X0004869-1,Kette CN-HG95 10-fach,JA,4524667984665,ICNHG95116I,T082,TZB,Ketten,SHIMANO,M000010420,Silber,24,116 Glieder,UN,,,0,87,12,10,55,0.632184,4.583333,3,20,2026-06-15,20,18.69,46127,16.0735,15.61169,1607.15,146.34,184.789916,221.747899,0.091056,971.33,0.028169,44915,21.99,39.95,0.449562,1.4,MC-NOS-A MB=5 VE=50 25/100,21.99,21.99
X0004873-1,Kette CN-HG93 9-fach,JA,4524667040804,ICNHG93116I,T082,TZB,Ketten,SHIMANO,M000010383,grau,24,116 Glieder,UN,,,0,136,11,5,83,0.610294,7.545455,6,50,2026-06-15,50,12.16,46127,10.4576,9.641735,1712.84,257.92,117.436975,258.361345,0.15058,956.89,0.019663,44896,27.95,27.95,0,2.7,MC-NOS-A MB=10 VE=50 23/100,14.99,14.99
X0040277-1,"Kette PC X1 11-fach, 118 Glieder",JA,710845759109,2131057000,T082,TZB,Ketten,SRAM,M000021533,Silver,24,118 Glieder,UN,,,0,52,2,2,4,0.076923,2,0,0,,0,0,45973,13.1,14.745909,960.82,198.22,57.058824,57.058824,0.206303,55.38,0.037037,44950,33.95,33.95,0,2.6,MC-C-NOS,21.99,21.99
X0004889-1,SM-SH56 SPD Pedalplatten,JA,4550170646998,ISMSH56,T029,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010549,Silber,NOS,OSZ,UN,,,0,44,8,4,104,2.363636,13,2,0,,0,0,46086,4.9708,5.126753,480.09,267.35,50.252101,100.504202,0.556875,521.12,0.036907,44137,14.95,14.95,0,3,MC-NOS-C MB=10 VE=10 15/100,12.99,12.99
X0004890-1,SM-SH11 SPD-SL Pedalplatten,JA,4550170646875,ISMSH11,T029,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010545,Gelb,NOS,6° Bewegungsfreiheit,UN,,,0,127,18,7,113,0.889764,6.277778,5,36,2026-06-15,36,9.36,46127,8.075333,8.184112,2045.02,1013.7,129.117647,332.016807,0.495692,957.37,0.077861,44137,21.95,21.95,0,2.7,MC-NOS-A MB=30 VE=10 6/100,17.99,17.99
X0004891-1,SM-SH10 SPD-SL Pedalplatten,JA,4550170646974,ISMSH10,T029,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010544,Rot,NOS,0° Bewegungsfreiheit,UN,,,0,12,-2,0,84,7,-42,1,0,,0,0,45617,7.9327,8.38715,184.44,87.24,0,-36.890756,0.472999,688.39,0.078125,44137,21.95,21.95,0,2.8,MC-AUSLAUF,14.99,14.99
X0007402-1,Radglanz Reiniger 500 ml Flasche mit Zerstäuber,Nein/Nur in der Filiale Verfügbar,4015570043940,3560786,Z141,TZB,Pflegemittel,ATLANTIC,M000005164,-,26,500 ML,KA,,,0,3,0,0,0,0,,0,0,,0,0,45716,6.77,6.77,30.23,9.92,0,0,0.328151,0,0,45674,11.99,17.5,0.314857,1.8,"MP-1,6-0326",11.99,11.99
X0007407-1,KryTech Wachsschmiermittel - 60ml,Nein/Nur in der Filiale Verfügbar,036121080034,4000068,Z141,TZB,Pflegemittel,FINISHLINE,M000005541,grau-schwarz,24,60 ml,UN,,,0,3,0,0,0,0,,0,0,,0,0,45048,3.688333,3.688333,22.53,11.48,0,0,0.509543,0,0,45062,8.99,10,0.101,2.4,MP-12%-1025-VetoFix-Auslauf,8.99,8.99
X0007408-1,KryTech Wachsschmiermittel - 120ml,Nein/Nur in der Filiale Verfügbar,036121080027,4000069,Z141,TZB,Pflegemittel,FINISHLINE,M000005540,grau-schwarz,24,120 ML,UN,,,0,56,0,0,0,0,,0,0,,0,0,45477,5.956759,6.278833,564.2,229.04,0,0,0.405955,0,0,45062,9.99,14,0.286429,1.7,"MP-1,7-0226-Auslauf",9.99,9.99
X0007409-1,Trockenschmiermittel mit Teflon - 60ml,JA,036121960671,4002118,Z141,TZB,Pflegemittel,FINISHLINE,M000005546,Rot,26,60 ml,UN,,,0,38,4,1,25,0.657895,6.25,2,0,,0,0,46094,4.300833,3.936597,250.12,92.03,8.823529,35.294118,0.367943,117.37,0.008475,45062,10.5,10.5,0,2.4,"MP-1,7-0226",7.49,7.49
X0007416-1,Cross Country Ketten Öl - 60ml,JA,036121163003,4000072,Z141,TZB,Pflegemittel,FINISHLINE,M000005535,grün,26,60 ml,UN,,,0,34,2,3,25,0.735294,12.5,2,0,,0,0,46094,4.300833,3.996905,225.14,73.31,26.470588,17.647059,0.32562,117.87,0.027586,45062,10.5,10.5,0,2.4,"MP-1,7-0226",7.49,7.49
X0007462-1,Cross Country Ketten Öl - 120ml,JA,036121160002,4000070,Z141,TZB,Pflegemittel,FINISHLINE,M000005533,grün,26,120 ML,UN,,,0,75,15,2,18,0.24,1.2,1,0,,0,0,46094,5.93875,5.764549,731.22,284.09,24.369748,182.773109,0.388515,114.28,0.003717,45062,14.5,14.5,0,2.4,"MP-1,7-0226",10.99,10.99
X0007519-1,"Premium Fett mit Trilinium Technologie, Tube - 100g",JA,36121600003,401000001,Z141,TZB,Pflegemittel,FINISHLINE,M000005544,Weiss,26,100 g,UN,,,0,37,4,1,30,0.810811,7.5,0,0,,0,0,46094,6.14875,6.785417,368.84,126.35,12.605042,50.420168,0.34256,189.46,0.008264,45062,15,15,0,2.4,"MP-1,7-0226",11.49,11.49
X0007648-1,Bike Wash Fahrrad-Reiniger - 1000ml,Nein/Nur in der Filiale Verfügbar,36121620001,4000078,Z141,TZB,Pflegemittel,FINISHLINE,M000005532,pink,26,1000 ml,UN,,,0,24,3,1,17,0.708333,5.666667,0,0,,0,0,46094,6.762222,6.619943,269.55,101.14,13.865546,41.596639,0.375218,115.68,0.029851,45062,16.5,16.5,0,2.4,"MP-1,7-0226",11.99,11.99
X0007650-1,Kettenreinigungsset inkl. EcoTech+Dry,JA,036121151000,4002025,Z141,TZB,Pflegemittel,FINISHLINE,M000005539,grün,26,OSZ,UN,,,0,46,7,6,46,1,6.571429,2,0,,0,0,46094,19.051042,18.046388,1406.46,486.73,176.420168,205.823529,0.346067,923.28,0.023936,44648,34.99,46.5,0.247527,1.8,"MP-1,7-0226",34.99,34.99
X0007652-1,The Grunge Brush Reinigungsbürste,JA,036121680906,4002020,Z141,TZB,Pflegemittel,FINISHLINE,M000005547,Rot,26,OSZ,UN,,,0,17,1,0,14,0.823529,14,0,0,,0,0,46102,9.126,7.683221,230.88,82.72,0,18.067227,0.358281,123.8,0,44648,21.5,21.5,0,2.4,"MP-1,7-0226",14.99,14.99
X0007653-1,Easy Pro Reinigungsbürsten-Set,JA,036121311107,4002021,Z141,TZB,Pflegemittel,FINISHLINE,M000005536,schwarz,26,Set,UN,,,0,3,1,0,7,2.333333,7,0,0,,0,0,44722,10.248056,10.248133,58.8,28.06,0,27.310924,0.477211,71.71,0.029412,44648,32.5,32.5,0,3.2,"MP-1,7-0226",17.99,17.99
X0008059-1,"Turbo-Spray 5-Funktionen, Spraydose - 400ml",JA,7610567953041,2172679000,Z141,TZB,Pflegemittel,BRUNOX,M000084840,schwarz/orange,24,400 ml,UN,,,0,16,1,1,11,0.6875,11,1,0,,0,0,46084,4.5675,5.340577,120.76,31.71,10.042017,10.042017,0.262587,56.72,0,45341,11.95,11.95,0,2.6,"MP-1,8-0326",8.99,8.99
X0008059-2,"Turbo-Spray 5-Funktionen, Spraydose - 100ml",JA,7610567953102,03562022,Z141,TZB,Pflegemittel,BRUNOX,M000084839,schwarz/orange,26,100 ml,UN,,,0,13,0,0,11,0.846154,,0,0,,0,0,46085,2.745,2.757121,54.47,19.98,0,0,0.366807,30.08,0.044444,45341,5.95,5.95,0,2.2,"MP-1,8-0326",4.99,4.99
X0008061-1,"Federgabel Deo, Spraydose - 100ml",JA,7610567953119,03562014,Z141,TZB,Pflegemittel,BRUNOX,M000005168,schwarz/orange,26,100 ml,UN,,,0,110,11,4,66,0.6,6,3,0,,0,0,46128,3.286,3.394778,553.09,182.17,32.773109,90.12605,0.329368,226.62,0.014706,45341,9.75,9.75,0,3,"MP-1,8-0326",5.99,5.99
X0033385-1,F100 Kettenöl Tropfflasche - 50ml,JA,4006539028627,2862,Z141,TZB,Pflegemittel,DRWACK,M000005255,Schwarz/grün,25,50 ML,UN,,,0,98,13,2,39,0.397959,3,1,0,,0,0,46106,4.362917,4.375885,670.35,236.44,16.789916,109.134454,0.352711,175.8,0.005348,45219,9.99,9.99,0,2.3,"MP-1,65-0226",7.49,7.49
X0033386-1,F100 Kettenöl Spraydose - 100ml,JA,4006539028610,2861,Z141,TZB,Pflegemittel,DRWACK,M000005256,Schwarz/grün,25,100 ml,UN,,,0,32,1,0,17,0.53125,17,0,0,,0,0,46092,6.551667,6.567604,338.39,128.86,0,12.596639,0.380803,112.86,0.012658,45219,14.99,14.99,0,2.3,"MP-1,65-0226",10.99,10.99
X0033387-1,F100 Kettenöl Spraydose - 300ml,JA,4006539028603,2860,Z141,TZB,Pflegemittel,DRWACK,M000005257,Schwarz/grün,25,300 ml,UN,,,0,78,13,4,15,0.192308,1.153846,2,0,,0,0,46106,8.735833,8.777365,1047.43,349.97,67.193277,218.378151,0.334123,150.19,0.007576,45219,19.99,19.99,0,2.3,"MP-1,65-0226",14.99,14.99
X0033388-1,F100 Trocken Schmierstoff Spraydose - 100ml,Nein/Nur in der Filiale Verfügbar,4006539028900,2890,Z141,TZB,Pflegemittel,DRWACK,M000005260,grau/grün,25,100 ml,UN,,,0,12,2,1,12,1,6,0,0,,0,0,46128,6.551667,6.437083,130.19,53.68,12.596639,25.193277,0.41232,78.42,0,45219,14.99,14.99,0,2.3,"MP-1,65-0226",10.99,10.99
X0033389-1,F100 Kettenreiniger Spraydose - 300ml,JA,4006539028504,2850,Z141,TZB,Pflegemittel,DRWACK,M000005258,Schwarz/grün,25,300 ml,UN,,,0,51,5,1,18,0.352941,3.6,0,0,,0,0,46106,6.989167,6.959462,566.91,205.7,13.436975,67.184874,0.362844,127.53,0.00885,45219,15.99,15.99,0,2.3,"MP-1,65-0226",11.99,11.99
X0033391-1,F100 E-Bike Kettenöl Spraydose - 100ml,JA,4006539028306,2830,Z141,TZB,Pflegemittel,DRWACK,M000005249,Schwarz/grün,25,100 ml,UN,,,0,23,7,0,12,0.521739,1.714286,2,0,,0,0,46106,6.551667,6.562381,237.61,83.58,0,88.176471,0.351753,93.59,0,45219,14.99,14.99,0,2.3,"MP-1,65-0226",10.99,10.99
X0033393-1,"F100 Matt-Pflege Spray, Spraydose - 250ml",JA,4006539028207,2820,Z141,TZB,Pflegemittel,DRWACK,M000005259,Schwarz/grün,25,250 ml,UN,,,0,11,5,1,16,1.454545,3.2,1,0,,0,0,46128,6.115,6.211875,96.55,28.33,11.756303,58.781513,0.293423,104.5,0,45219,13.99,13.99,0,2.3,"MP-1,65-0226",9.99,9.99
X0033394-1,F100 Fahrradreiniger Spritzflasche - 100ml,Nein/Nur in der Filiale Verfügbar,4006539028023,2802,Z141,TZB,Pflegemittel,DRWACK,M000005253,grau/grün,25,100 ml,UN,,,0,8,0,0,15,1.875,,0,0,,0,0,46092,2.615833,2.615833,33.1,12.16,0,0,0.367372,39.22,0,45219,5.99,5.99,0,2.3,"MP-1,65-0226",4.49,4.49
