Artikelnummer,Bezeichnung,Online_Status,EAN,Kred_Artikelnummer,Warengruppe,Spalte7,Spalte8,Spalte9,Hauptkategorie,PG_Beschreibung,Marke,Modellnummer,Farbe,Saison,Herstellergröße,Zielgruppe,Rahmentyp,Radgröße,Akkukapazität,Absatz_Variabel,Absatz_30T,Absatz_7T,Bestand_verfügbar,Reichweite_JAHRE,Reichweite_MONATE,In_Auftrag,Offen,Nächster_Bestellzugang,Nächste_EK_Menge,Nächster_EK_Preis,Letzter_Einkaufspreis_Datum,Letzter_Einkaufspreis_Wert,Avg_EK,Umsatz_Var,DB_Var,Netto_Umsatz_7_Tage,Netto_Umsatz_30_Tage,DB_Pct_Var,Lagerwert,Retourquote,Erster_Zugang,Preis_Online,UVP,Rabattsatz,Kalkulation,BEMERKUNG,MINPRICE,MAXPRICE,Zyklus,Nachorder?
X0004889-1,SM-SH56 SPD Pedalplatten,JA,4550170646998,ISMSH56,T029,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010549,Silber,NOS,OSZ,UN,,,0,,,,110,,,3,,,,,2026-03-05,4.9708,5.126753,,,0,0,,556.95,,2020-11-02,12.99,14.95,0.131104,2.6,MC-NOS-C MB=10 VE=10 15/100,12.99,12.99,Active,0
X0004890-1,SM-SH11 SPD-SL Pedalplatten,JA,4550170646875,ISMSH11,T029,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010545,Gelb,NOS,6° Bewegungsfreiheit,UN,,,0,,,,68,,,1,96,2026-04-15,60,9.39,2026-02-26,8.075333,7.76021,,,0,0,,561.01,,2020-11-02,17.99,21.95,0.18041,2.2,MC-NOS-A MB=30 VE=10 6/100,17.99,17.99,Active,0
X0004891-1,SM-SH10 SPD-SL Pedalplatten,JA,4550170646974,ISMSH10,T029,MC,K1173,Paul Lange GmbH & Co. KG,TZB,Pedal E-Teile/Zub.,SHIMANO,M000010544,Rot,NOS,0° Bewegungsfreiheit,UN,,,0,,,,85,,,,,,,,2024-11-21,7.9327,8.38715,,,0,0,,688.39,,2020-11-02,14.99,21.95,0.317084,1.9,MC-AUSLAUF,14.99,14.99,Active,0
X0007409-1,Trockenschmiermittel mit Teflon - 60ml,JA,036121960671,4002118,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005546,Rot,26,60 ml,UN,,,0,,,,28,,,1,,,,,2026-03-13,4.300833,3.936597,,,0,0,,125.9,,2023-05-16,7.49,10.5,0.286667,1.7,"MP-1,7-0226",7.49,7.49,Active,0
X0007416-1,Cross Country Ketten Öl - 60ml,JA,036121163003,4000072,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005535,grün,26,60 ml,UN,,,0,,,,30,,,,,,,,2026-03-13,4.300833,3.996905,,,0,0,,130.41,,2023-05-16,7.49,10.5,0.286667,1.7,"MP-1,7-0226",7.49,7.49,Active,0
X0007462-1,Cross Country Ketten Öl - 120ml,JA,036121160002,4000070,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005533,grün,26,120 ML,UN,,,0,,,,23,,,2,,,,,2026-03-13,5.93875,5.764549,,,0,0,,150.01,,2023-05-16,10.99,14.5,0.242069,1.9,"MP-1,7-0226",10.99,10.99,Active,0
X0007519-1,"Premium Fett mit Trilinium Technologie, Tube - 100g",JA,36121600003,401000001,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005544,Weiss,26,100 g,UN,,,0,,,,31,,,2,,,,,2026-03-13,6.14875,6.785417,,,0,0,,208.42,,2023-05-16,11.49,15,0.234,1.9,"MP-1,7-0226",11.49,11.49,Active,0
X0007648-1,Bike Wash Fahrrad-Reiniger - 1000ml,JA,36121620001,4000078,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005532,pink,26,1000 ml,UN,,,0,,,,18,,,,,,,,2026-03-13,6.762222,6.619943,,,0,0,,122.23,,2023-05-16,11.99,16.5,0.273333,1.8,"MP-1,7-0226",11.99,11.99,Active,0
X0007650-1,Kettenreinigungsset inkl. EcoTech+Dry,JA,036121151000,4002025,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005539,grün,26,OSZ,UN,,,0,,,,54,,,,,,,,2026-03-13,19.051042,18.046388,,,0,0,,1037.6,,2022-03-28,34.99,46.5,0.247527,1.8,"MP-1,7-0226",34.99,34.99,Active,0
X0007652-1,The Grunge Brush Reinigungsbürste,JA,036121680906,4002020,Z141,Marco,K1111,Grofa Action Sports GmbH,TZB,Pflegemittel,FINISHLINE,M000005547,Rot,26,OSZ,UN,,,0,,,,14,,,,,,,,2026-03-21,9.126,7.683221,,,0,0,,125.44,,2022-03-28,14.99,21.5,0.302791,1.6,"MP-1,7-0226",14.99,14.99,Active,0
